DATE,TIME,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
03/11/2011,07:36,0.46,0.45,1.24,0.48,-0.02
03/11/2011,07:37,0.46,-,-,0.48,-0.02
03/11/2011,07:38,0.45,-,-,0.48,-0.03
03/11/2011,07:39,0.45,-,-,0.48,-0.03
03/11/2011,07:40,0.46,-,-,0.47,-0.01
03/11/2011,07:41,0.46,-,-,0.47,-0.01
03/11/2011,07:42,0.44,0.45,1.25,0.47,-0.03
03/11/2011,07:43,0.46,-,-,0.47,-0.01
03/11/2011,07:44,0.43,-,-,0.47,-0.04
03/11/2011,07:45,0.44,-,-,0.47,-0.03
03/11/2011,07:46,0.44,-,-,0.47,-0.03
03/11/2011,07:47,0.43,-,-,0.47,-0.04
03/11/2011,07:48,0.43,0.43,1.24,0.47,-0.04
03/11/2011,07:49,0.41,-,-,0.47,-0.06
03/11/2011,07:50,0.41,-,-,0.47,-0.06
03/11/2011,07:51,0.43,-,-,0.47,-0.04
03/11/2011,07:52,0.43,-,-,0.46,-0.03
03/11/2011,07:53,0.43,-,-,0.46,-0.03
03/11/2011,07:54,0.44,0.43,1.23,0.46,-0.02
03/11/2011,07:55,0.42,-,-,0.46,-0.04
03/11/2011,07:56,0.44,-,-,0.46,-0.02
03/11/2011,07:57,0.44,-,-,0.46,-0.02
03/11/2011,07:58,0.43,-,-,0.46,-0.03
03/11/2011,07:59,0.44,-,-,0.46,-0.02
03/11/2011,08:00,0.44,0.44,1.22,0.46,-0.02
03/11/2011,08:01,0.43,-,-,0.46,-0.03
03/11/2011,08:02,0.43,-,-,0.46,-0.03
03/11/2011,08:03,0.43,-,-,0.46,-0.03
03/11/2011,08:04,0.43,-,-,0.45,-0.02
03/11/2011,08:05,0.41,-,-,0.45,-0.04
03/11/2011,08:06,0.41,0.41,1.24,0.45,-0.04
03/11/2011,08:07,0.41,-,-,0.45,-0.04
03/11/2011,08:08,0.42,-,-,0.45,-0.03
03/11/2011,08:09,0.42,-,-,0.45,-0.03
03/11/2011,08:10,0.42,-,-,0.44,-0.02
03/11/2011,08:11,0.41,-,-,0.44,-0.03
03/11/2011,08:12,0.42,0.42,1.21,0.44,-0.02
03/11/2011,08:13,0.43,-,-,0.44,-0.01
03/11/2011,08:14,0.42,-,-,0.44,-0.02
03/11/2011,08:15,0.41,-,-,0.44,-0.03
03/11/2011,08:16,0.41,-,-,0.44,-0.03
03/11/2011,08:17,0.40,-,-,0.44,-0.04
03/11/2011,08:18,0.38,0.39,1.21,0.44,-0.06
03/11/2011,08:19,0.39,-,-,0.44,-0.05
03/11/2011,08:20,0.39,-,-,0.44,-0.05
03/11/2011,08:21,0.40,-,-,0.44,-0.04
03/11/2011,08:22,0.40,-,-,0.43,-0.03
03/11/2011,08:23,0.40,-,-,0.43,-0.03
03/11/2011,08:24,0.40,0.40,1.19,0.43,-0.03
03/11/2011,08:25,0.42,-,-,0.43,-0.01
03/11/2011,08:26,0.42,-,-,0.43,-0.01
03/11/2011,08:27,0.42,-,-,0.43,-0.01
03/11/2011,08:28,0.40,-,-,0.42,-0.02
03/11/2011,08:29,0.40,-,-,0.42,-0.02
03/11/2011,08:30,0.39,0.39,1.20,0.42,-0.03
03/11/2011,08:31,0.39,-,-,0.42,-0.03
03/11/2011,08:32,0.39,-,-,0.42,-0.03
03/11/2011,08:33,0.39,-,-,0.42,-0.03
03/11/2011,08:34,0.39,-,-,0.42,-0.03
03/11/2011,08:35,0.40,-,-,0.42,-0.02
03/11/2011,08:36,0.41,0.40,1.19,0.42,-0.01
03/11/2011,08:37,0.40,-,-,0.42,-0.02
03/11/2011,08:38,0.42,-,-,0.42,0.00
03/11/2011,08:39,0.41,-,-,0.42,-0.01
03/11/2011,08:40,0.40,-,-,0.41,-0.01
03/11/2011,08:41,0.38,-,-,0.41,-0.03
03/11/2011,08:42,0.39,0.39,1.19,0.41,-0.02
03/11/2011,08:43,0.39,-,-,0.41,-0.02
03/11/2011,08:44,0.38,-,-,0.41,-0.03
03/11/2011,08:45,0.37,-,-,0.41,-0.04
03/11/2011,08:46,0.36,-,-,0.41,-0.05
03/11/2011,08:47,0.37,-,-,0.41,-0.04
03/11/2011,08:48,0.38,0.37,1.18,0.41,-0.03
03/11/2011,08:49,0.37,-,-,0.41,-0.04
03/11/2011,08:50,0.39,-,-,0.41,-0.02
03/11/2011,08:51,0.38,-,-,0.41,-0.03
03/11/2011,08:52,0.37,-,-,0.40,-0.03
03/11/2011,08:53,0.36,-,-,0.40,-0.04
03/11/2011,08:54,0.37,0.37,1.16,0.40,-0.03
03/11/2011,08:55,0.38,-,-,0.40,-0.02
03/11/2011,08:56,0.36,-,-,0.40,-0.04
03/11/2011,08:57,0.36,-,-,0.40,-0.04
03/11/2011,08:58,0.36,-,-,0.40,-0.04
03/11/2011,08:59,0.35,-,-,0.40,-0.05
03/11/2011,09:00,0.36,0.36,1.17,0.40,-0.04
03/11/2011,09:01,0.37,-,-,0.40,-0.03
03/11/2011,09:02,0.38,-,-,0.40,-0.02
03/11/2011,09:03,0.39,-,-,0.40,-0.01
03/11/2011,09:04,0.38,-,-,0.39,-0.01
03/11/2011,09:05,0.38,-,-,0.39,-0.01
03/11/2011,09:06,0.38,0.38,1.16,0.39,-0.01
03/11/2011,09:07,0.38,-,-,0.39,-0.01
03/11/2011,09:08,0.37,-,-,0.39,-0.02
03/11/2011,09:09,0.36,-,-,0.39,-0.03
03/11/2011,09:10,0.35,-,-,0.38,-0.03
03/11/2011,09:11,0.34,-,-,0.38,-0.04
03/11/2011,09:12,0.35,0.34,1.17,0.38,-0.03
03/11/2011,09:13,0.34,-,-,0.38,-0.04
03/11/2011,09:14,0.35,-,-,0.38,-0.03
03/11/2011,09:15,0.34,-,-,0.38,-0.04
03/11/2011,09:16,0.34,-,-,0.38,-0.04
03/11/2011,09:17,0.35,-,-,0.38,-0.03
03/11/2011,09:18,0.35,0.35,1.14,0.38,-0.03
03/11/2011,09:19,0.35,-,-,0.38,-0.03
03/11/2011,09:20,0.33,-,-,0.38,-0.05
03/11/2011,09:21,0.35,-,-,0.38,-0.03
03/11/2011,09:22,0.33,-,-,0.37,-0.04
03/11/2011,09:23,0.35,-,-,0.37,-0.02
03/11/2011,09:24,0.35,0.35,1.14,0.37,-0.02
03/11/2011,09:25,0.35,-,-,0.37,-0.02
03/11/2011,09:26,0.34,-,-,0.37,-0.03
03/11/2011,09:27,0.36,-,-,0.37,-0.01
03/11/2011,09:28,0.37,-,-,0.37,0.00
03/11/2011,09:29,0.36,-,-,0.37,-0.01
03/11/2011,09:30,0.35,0.35,1.14,0.37,-0.02
03/11/2011,09:31,0.33,-,-,0.37,-0.04
03/11/2011,09:32,0.34,-,-,0.37,-0.03
03/11/2011,09:33,0.34,-,-,0.37,-0.03
03/11/2011,09:34,0.34,-,-,0.36,-0.02
03/11/2011,09:35,0.33,-,-,0.36,-0.03
03/11/2011,09:36,0.32,0.33,1.14,0.36,-0.04
03/11/2011,09:37,0.34,-,-,0.36,-0.02
03/11/2011,09:38,0.33,-,-,0.36,-0.03
03/11/2011,09:39,0.35,-,-,0.36,-0.01
03/11/2011,09:40,0.35,-,-,0.36,-0.01
03/11/2011,09:41,0.34,-,-,0.36,-0.02
03/11/2011,09:42,0.33,0.33,1.13,0.36,-0.03
03/11/2011,09:43,0.33,-,-,0.36,-0.03
03/11/2011,09:44,0.31,-,-,0.36,-0.05
03/11/2011,09:45,0.33,-,-,0.36,-0.03
03/11/2011,09:46,0.33,-,-,0.35,-0.02
03/11/2011,09:47,0.31,-,-,0.35,-0.04
03/11/2011,09:48,0.31,0.32,1.13,0.35,-0.04
03/11/2011,09:49,0.31,-,-,0.35,-0.04
03/11/2011,09:50,0.31,-,-,0.35,-0.04
03/11/2011,09:51,0.33,-,-,0.35,-0.02
03/11/2011,09:52,0.34,-,-,0.35,-0.01
03/11/2011,09:53,0.33,-,-,0.35,-0.02
03/11/2011,09:54,0.34,0.34,1.11,0.35,-0.01
03/11/2011,09:55,0.34,-,-,0.35,-0.01
03/11/2011,09:56,0.34,-,-,0.35,-0.01
03/11/2011,09:57,0.34,-,-,0.35,-0.01
03/11/2011,09:58,0.33,-,-,0.35,-0.02
03/11/2011,09:59,0.33,-,-,0.35,-0.02
03/11/2011,10:00,0.34,0.34,1.13,0.35,-0.01
03/11/2011,10:01,0.32,-,-,0.35,-0.03
03/11/2011,10:02,0.32,-,-,0.35,-0.03
03/11/2011,10:03,0.32,-,-,0.35,-0.03
03/11/2011,10:04,0.32,-,-,0.34,-0.02
03/11/2011,10:05,0.31,-,-,0.34,-0.03
03/11/2011,10:06,0.33,0.32,1.13,0.34,-0.01
03/11/2011,10:07,0.33,-,-,0.34,-0.01
03/11/2011,10:08,0.33,-,-,0.34,-0.01
03/11/2011,10:09,0.32,-,-,0.34,-0.02
03/11/2011,10:10,0.32,-,-,0.34,-0.02
03/11/2011,10:11,0.32,-,-,0.34,-0.02
03/11/2011,10:12,0.31,0.32,1.12,0.34,-0.03
03/11/2011,10:13,0.32,-,-,0.34,-0.02
03/11/2011,10:14,0.31,-,-,0.34,-0.03
03/11/2011,10:15,0.30,-,-,0.34,-0.04
03/11/2011,10:16,0.30,-,-,0.34,-0.04
03/11/2011,10:17,0.29,-,-,0.34,-0.05
03/11/2011,10:18,0.30,0.30,1.11,0.34,-0.04
03/11/2011,10:19,0.30,-,-,0.34,-0.04
03/11/2011,10:20,0.31,-,-,0.34,-0.03
03/11/2011,10:21,0.30,-,-,0.34,-0.04
03/11/2011,10:22,0.31,-,-,0.33,-0.02
03/11/2011,10:23,0.31,-,-,0.33,-0.02
03/11/2011,10:24,0.33,0.32,1.09,0.33,0.00
03/11/2011,10:25,0.33,-,-,0.33,0.00
03/11/2011,10:26,0.33,-,-,0.33,0.00
03/11/2011,10:27,0.33,-,-,0.33,0.00
03/11/2011,10:28,0.32,-,-,0.33,-0.01
03/11/2011,10:29,0.32,-,-,0.33,-0.01
03/11/2011,10:30,0.31,0.32,1.12,0.33,-0.02
03/11/2011,10:31,0.31,-,-,0.33,-0.02
03/11/2011,10:32,0.30,-,-,0.33,-0.03
03/11/2011,10:33,0.29,-,-,0.33,-0.04
03/11/2011,10:34,0.28,-,-,0.33,-0.05
03/11/2011,10:35,0.31,-,-,0.33,-0.02
03/11/2011,10:36,0.29,0.30,1.11,0.33,-0.04
03/11/2011,10:37,0.30,-,-,0.33,-0.03
03/11/2011,10:38,0.31,-,-,0.33,-0.02
03/11/2011,10:39,0.31,-,-,0.33,-0.02
03/11/2011,10:40,0.32,-,-,0.32,0.00
03/11/2011,10:41,0.32,-,-,0.32,0.00
03/11/2011,10:42,0.32,0.32,1.09,0.32,0.00
03/11/2011,10:43,0.32,-,-,0.32,0.00
03/11/2011,10:44,0.31,-,-,0.32,-0.01
03/11/2011,10:45,0.31,-,-,0.32,-0.01
03/11/2011,10:46,0.30,-,-,0.32,-0.02
03/11/2011,10:47,0.31,-,-,0.32,-0.01
03/11/2011,10:48,0.29,0.30,1.11,0.32,-0.03
03/11/2011,10:49,0.31,-,-,0.32,-0.01
03/11/2011,10:50,0.31,-,-,0.32,-0.01
03/11/2011,10:51,0.30,-,-,0.32,-0.02
03/11/2011,10:52,0.31,-,-,0.32,-0.01
03/11/2011,10:53,0.29,-,-,0.32,-0.03
03/11/2011,10:54,0.31,0.30,1.10,0.32,-0.01
03/11/2011,10:55,0.31,-,-,0.32,-0.01
03/11/2011,10:56,0.30,-,-,0.32,-0.02
03/11/2011,10:57,0.29,-,-,0.32,-0.03
03/11/2011,10:58,0.30,-,-,0.32,-0.02
03/11/2011,10:59,0.30,-,-,0.32,-0.02
03/11/2011,11:00,0.30,0.30,1.10,0.32,-0.02
03/11/2011,11:01,0.29,-,-,0.32,-0.03
03/11/2011,11:02,0.30,-,-,0.32,-0.02
03/11/2011,11:03,0.32,-,-,0.32,0.00
03/11/2011,11:04,0.31,-,-,0.32,-0.01
03/11/2011,11:05,0.32,-,-,0.32,0.00
03/11/2011,11:06,0.30,0.31,1.09,0.32,-0.02
03/11/2011,11:07,0.31,-,-,0.32,-0.01
03/11/2011,11:08,0.30,-,-,0.32,-0.02
03/11/2011,11:09,0.29,-,-,0.32,-0.03
03/11/2011,11:10,0.30,-,-,0.32,-0.02
03/11/2011,11:11,0.28,-,-,0.32,-0.04
03/11/2011,11:12,0.29,0.29,1.11,0.32,-0.03
03/11/2011,11:13,0.28,-,-,0.32,-0.04
03/11/2011,11:14,0.28,-,-,0.32,-0.04
03/11/2011,11:15,0.29,-,-,0.32,-0.03
03/11/2011,11:16,0.29,-,-,0.32,-0.03
03/11/2011,11:17,0.30,-,-,0.32,-0.02
03/11/2011,11:18,0.30,0.30,1.08,0.32,-0.02
03/11/2011,11:19,0.30,-,-,0.32,-0.02
03/11/2011,11:20,0.29,-,-,0.32,-0.03
03/11/2011,11:21,0.29,-,-,0.32,-0.03
03/11/2011,11:22,0.30,-,-,0.31,-0.01
03/11/2011,11:23,0.29,-,-,0.31,-0.02
03/11/2011,11:24,0.29,0.29,1.09,0.31,-0.02
03/11/2011,11:25,0.29,-,-,0.31,-0.02
03/11/2011,11:26,0.30,-,-,0.31,-0.01
03/11/2011,11:27,0.29,-,-,0.31,-0.02
03/11/2011,11:28,0.30,-,-,0.31,-0.01
03/11/2011,11:29,0.29,-,-,0.31,-0.02
03/11/2011,11:30,0.30,0.29,1.08,0.31,-0.01
03/11/2011,11:31,0.29,-,-,0.31,-0.02
03/11/2011,11:32,0.30,-,-,0.31,-0.01
03/11/2011,11:33,0.29,-,-,0.31,-0.02
03/11/2011,11:34,0.29,-,-,0.31,-0.02
03/11/2011,11:35,0.28,-,-,0.31,-0.03
03/11/2011,11:36,0.30,0.29,1.09,0.31,-0.01
03/11/2011,11:37,0.30,-,-,0.31,-0.01
03/11/2011,11:38,0.30,-,-,0.31,-0.01
03/11/2011,11:39,0.31,-,-,0.31,0.00
03/11/2011,11:40,0.30,-,-,0.31,-0.01
03/11/2011,11:41,-,-,-,0.31,-
03/11/2011,11:42,0.30,0.30,1.08,0.31,-0.01
03/11/2011,11:43,0.28,-,-,0.31,-0.03
03/11/2011,11:44,0.28,-,-,0.31,-0.03
03/11/2011,11:45,0.28,-,-,0.31,-0.03
03/11/2011,11:46,0.27,-,-,0.31,-0.04
03/11/2011,11:47,0.26,-,-,0.31,-0.05
03/11/2011,11:48,0.26,0.27,1.09,0.31,-0.05
03/11/2011,11:49,0.28,-,-,0.31,-0.03
03/11/2011,11:50,0.28,-,-,0.31,-0.03
03/11/2011,11:51,0.29,-,-,0.31,-0.02
03/11/2011,11:52,0.29,-,-,0.31,-0.02
03/11/2011,11:53,0.31,-,-,0.31,0.00
03/11/2011,11:54,0.31,0.30,1.06,0.31,0.00
03/11/2011,11:55,0.30,-,-,0.31,-0.01
03/11/2011,11:56,0.30,-,-,0.31,-0.01
03/11/2011,11:57,0.29,-,-,0.31,-0.02
03/11/2011,11:58,0.29,-,-,0.31,-0.02
03/11/2011,11:59,0.28,-,-,0.31,-0.03
03/11/2011,12:00,0.27,0.27,1.10,0.31,-0.04
03/11/2011,12:01,0.27,-,-,0.31,-0.04
03/11/2011,12:02,0.27,-,-,0.31,-0.04
03/11/2011,12:03,0.27,-,-,0.31,-0.04
03/11/2011,12:04,0.27,-,-,0.32,-0.05
03/11/2011,12:05,0.28,-,-,0.32,-0.04
03/11/2011,12:06,0.29,0.28,1.07,0.32,-0.03
03/11/2011,12:07,0.28,-,-,0.32,-0.04
03/11/2011,12:08,0.30,-,-,0.32,-0.02
03/11/2011,12:09,0.31,-,-,0.32,-0.01
03/11/2011,12:10,0.30,-,-,0.32,-0.02
03/11/2011,12:11,0.31,-,-,0.32,-0.01
03/11/2011,12:12,0.30,0.30,1.08,0.32,-0.02
03/11/2011,12:13,0.29,-,-,0.32,-0.03
03/11/2011,12:14,0.29,-,-,0.32,-0.03
03/11/2011,12:15,0.29,-,-,0.32,-0.03
03/11/2011,12:16,0.28,-,-,0.32,-0.04
03/11/2011,12:17,0.30,-,-,0.32,-0.02
03/11/2011,12:18,0.29,0.29,1.09,0.32,-0.03
03/11/2011,12:19,0.29,-,-,0.32,-0.03
03/11/2011,12:20,0.29,-,-,0.32,-0.03
03/11/2011,12:21,0.30,-,-,0.32,-0.02
03/11/2011,12:22,0.31,-,-,0.32,-0.01
03/11/2011,12:23,0.31,-,-,0.32,-0.01
03/11/2011,12:24,0.30,0.31,1.08,0.32,-0.02
03/11/2011,12:25,0.30,-,-,0.32,-0.02
03/11/2011,12:26,0.30,-,-,0.32,-0.02
03/11/2011,12:27,0.29,-,-,0.32,-0.03
03/11/2011,12:28,0.28,-,-,0.32,-0.04
03/11/2011,12:29,0.29,-,-,0.32,-0.03
03/11/2011,12:30,0.28,0.28,1.10,0.32,-0.04
03/11/2011,12:31,0.28,-,-,0.32,-0.04
03/11/2011,12:32,0.28,-,-,0.32,-0.04
03/11/2011,12:33,0.28,-,-,0.32,-0.04
03/11/2011,12:34,-,-,-,0.32,-
03/11/2011,12:35,-,-,-,0.32,-
03/11/2011,12:36,-,0.29,1.08,0.32,-
03/11/2011,12:37,-,-,-,0.32,-
03/11/2011,12:38,-,-,-,0.32,-
03/11/2011,12:39,-,-,-,0.32,-
03/11/2011,12:40,-,-,-,0.32,-
03/11/2011,12:41,0.29,-,-,0.32,-0.03
03/11/2011,12:42,0.30,0.30,1.08,0.32,-0.02
03/11/2011,12:43,0.32,-,-,0.32,0.00
03/11/2011,12:44,0.29,-,-,0.32,-0.03
03/11/2011,12:45,0.31,-,-,0.32,-0.01
03/11/2011,12:46,0.31,-,-,0.33,-0.02
03/11/2011,12:47,0.30,-,-,0.33,-0.03
03/11/2011,12:48,0.30,0.30,1.10,0.33,-0.03
03/11/2011,12:49,0.30,-,-,0.33,-0.03
03/11/2011,12:50,0.29,-,-,0.33,-0.04
03/11/2011,12:51,0.29,-,-,0.33,-0.04
03/11/2011,12:52,0.30,-,-,0.33,-0.03
03/11/2011,12:53,0.29,-,-,0.33,-0.04
03/11/2011,12:54,0.30,0.30,1.10,0.33,-0.03
03/11/2011,12:55,0.29,-,-,0.33,-0.04
03/11/2011,12:56,0.31,-,-,0.33,-0.02
03/11/2011,12:57,0.29,-,-,0.33,-0.04
03/11/2011,12:58,0.29,-,-,0.33,-0.04
03/11/2011,12:59,0.29,-,-,0.33,-0.04
03/11/2011,13:00,0.29,0.29,1.09,0.33,-0.04
03/11/2011,13:01,0.29,-,-,0.33,-0.04
03/11/2011,13:02,0.29,-,-,0.33,-0.04
03/11/2011,13:03,0.30,-,-,0.33,-0.03
03/11/2011,13:04,0.31,-,-,0.33,-0.02
03/11/2011,13:05,0.31,-,-,0.33,-0.02
03/11/2011,13:06,0.32,0.32,1.09,0.33,-0.01
03/11/2011,13:07,0.32,-,-,0.33,-0.01
03/11/2011,13:08,0.32,-,-,0.33,-0.01
03/11/2011,13:09,0.32,-,-,0.33,-0.01
03/11/2011,13:10,0.32,-,-,0.33,-0.01
03/11/2011,13:11,0.32,-,-,0.33,-0.01
03/11/2011,13:12,0.32,0.32,1.11,0.33,-0.01
03/11/2011,13:13,0.30,-,-,0.33,-0.03
03/11/2011,13:14,0.31,-,-,0.33,-0.02
03/11/2011,13:15,0.32,-,-,0.33,-0.01
03/11/2011,13:16,0.31,-,-,0.34,-0.03
03/11/2011,13:17,0.31,-,-,0.34,-0.03
03/11/2011,13:18,0.30,0.30,1.11,0.34,-0.04
03/11/2011,13:19,0.30,-,-,0.34,-0.04
03/11/2011,13:20,0.30,-,-,0.34,-0.04
03/11/2011,13:21,0.31,-,-,0.34,-0.03
03/11/2011,13:22,0.31,-,-,0.34,-0.03
03/11/2011,13:23,0.31,-,-,0.34,-0.03
03/11/2011,13:24,0.30,0.31,1.10,0.34,-0.04
03/11/2011,13:25,0.30,-,-,0.34,-0.04
03/11/2011,13:26,0.31,-,-,0.34,-0.03
03/11/2011,13:27,0.31,-,-,0.34,-0.03
03/11/2011,13:28,0.31,-,-,0.34,-0.03
03/11/2011,13:29,0.30,-,-,0.34,-0.04
03/11/2011,13:30,0.31,0.30,1.10,0.34,-0.03
03/11/2011,13:31,0.29,-,-,0.34,-0.05
03/11/2011,13:32,0.29,-,-,0.34,-0.05
03/11/2011,13:33,0.30,-,-,0.34,-0.04
03/11/2011,13:34,0.31,-,-,0.34,-0.03
03/11/2011,13:35,0.29,-,-,0.34,-0.05
03/11/2011,13:36,0.30,0.30,1.10,0.34,-0.04
03/11/2011,13:37,0.29,-,-,0.34,-0.05
03/11/2011,13:38,0.29,-,-,0.34,-0.05
03/11/2011,13:39,0.30,-,-,0.34,-0.04
03/11/2011,13:40,0.29,-,-,0.34,-0.05
03/11/2011,13:41,0.29,-,-,0.34,-0.05
03/11/2011,13:42,0.29,0.29,1.09,0.34,-0.05
03/11/2011,13:43,0.30,-,-,0.34,-0.04
03/11/2011,13:44,0.31,-,-,0.34,-0.03
03/11/2011,13:45,0.34,-,-,0.34,0.00
03/11/2011,13:46,0.39,-,-,0.35,0.04
03/11/2011,13:47,0.42,-,-,0.35,0.07
03/11/2011,13:48,0.48,0.45,1.08,0.35,0.13
03/11/2011,13:49,0.56,-,-,0.35,0.21
03/11/2011,13:50,0.66,-,-,0.35,0.31
